diet	mouse_id	inhibitor	promoter	ratio	ratio_label
Chow	114	750.9524504599999	61.676948113	0.0821316290734779	C. difficile Promoter:Inhibitor
Chow	116	2306.49949124	5068.6830918000005	2.19756523296479	C. difficile Promoter:Inhibitor
Chow	117	902.6258895499999	1012.9125508999999	1.1221842433579907	C. difficile Promoter:Inhibitor
Chow	9740	749.14230366	2478.5466226	3.3085124288013694	C. difficile Promoter:Inhibitor
Chow	9741	2552.31015844	349.19250632	0.13681429161941286	C. difficile Promoter:Inhibitor
Chow	9742	124.24811428400001	682.2604478	5.491113098429194	C. difficile Promoter:Inhibitor
Chow	9743	2244.41462994	691.8186644299999	0.30824013317383087	C. difficile Promoter:Inhibitor
Chow	9941	19.041693430000002	281.85854472	14.802178480404196	C. difficile Promoter:Inhibitor
Chow	9943	22.24082858	156.51712567	7.037378356072021	C. difficile Promoter:Inhibitor
Chow	9962	332.07229514999995	26.709704640000002	0.08043340269604543	C. difficile Promoter:Inhibitor
Chow	9963	8	940.0495143	117.5061892875	C. difficile Promoter:Inhibitor
Chow	9964	176.7036585	614.0601145	3.475084328828427	C. difficile Promoter:Inhibitor
Chow	9965	405.50271602	274.95575357	0.6780614351210382	C. difficile Promoter:Inhibitor
HF/HF	103	71.35991853	3228.5027339999997	45.24252270050903	C. difficile Promoter:Inhibitor
HF/HF	104	17.710969331999998	1408.3298423210001	79.51737795494029	C. difficile Promoter:Inhibitor
HF/HF	9836	882.8970234320001	1910.1567912	2.1635102854632273	C. difficile Promoter:Inhibitor
HF/HF	9837	455.00296226	1208.9531181	2.6570225215570664	C. difficile Promoter:Inhibitor
HF/HF	9838	8	12.54408051	1.56801006375	C. difficile Promoter:Inhibitor
HF/HF	9839	8	14.04326332	1.755407915	C. difficile Promoter:Inhibitor
HF/LF	113	172.27636131	44619.01176458	258.9967156567175	C. difficile Promoter:Inhibitor
HF/LF	9758	8	57.04803595	7.13100449375	C. difficile Promoter:Inhibitor
HF/LF	9846	25.05515229	4680.26052316	186.79832670695774	C. difficile Promoter:Inhibitor
HF/LF	9847	8	287.0009195	35.8751149375	C. difficile Promoter:Inhibitor
HF/LF	9848	8	546.0516488	68.2564561	C. difficile Promoter:Inhibitor
HF/LF	9849	15.257015986999999	4598.371142588	301.39387325189415	C. difficile Promoter:Inhibitor
HF/LF	9851	8	2407.672849862	300.95910623275	C. difficile Promoter:Inhibitor
HF/LF	9949	33.56929128	9083.769390700001	270.59759215446866	C. difficile Promoter:Inhibitor
HF/LF	9950	8	581.178115297	72.647264412125	C. difficile Promoter:Inhibitor
HF/LF	9952	13.018526737	598.5118032800001	45.97385060315371	C. difficile Promoter:Inhibitor
HF/LF	9953	21.08317848	2898.5859568	137.48334766267178	C. difficile Promoter:Inhibitor
HF/LF	9971	186.01560188	3691.7185893	19.846284677139902	C. difficile Promoter:Inhibitor
HF/LF	9972	8	2084.48866253	260.56108281625	C. difficile Promoter:Inhibitor
HF/LF	9973	8	548.816038798	68.60200484975	C. difficile Promoter:Inhibitor
HF/LF	9974	8	614.779700187	76.847462523375	C. difficile Promoter:Inhibitor
HF/LF	9975	8	1298.534902866	162.31686285825	C. difficile Promoter:Inhibitor
LF/HF	99	83.57924417	3357.6623102999997	40.173398834171344	C. difficile Promoter:Inhibitor
LF/HF	9832	18.67903204	138.230944175	7.400326948365789	C. difficile Promoter:Inhibitor
LF/HF	9833	160.3951691	1280.5101932	7.983471075750747	C. difficile Promoter:Inhibitor
LF/HF	9834	56.2793273	21242.8064	377.4530972405564	C. difficile Promoter:Inhibitor
LF/HF	9835	315.515996421	1847.9172173	5.856809918550954	C. difficile Promoter:Inhibitor
LF/LF	106	273.96360041	15691.50634819	57.27588017060255	C. difficile Promoter:Inhibitor
LF/LF	108	112.1155123	12887.99059239	114.952786889152	C. difficile Promoter:Inhibitor
LF/LF	109	99.50773226	3677.88025686	36.96074840948245	C. difficile Promoter:Inhibitor
LF/LF	9747	8	19.751707670000002	2.4689634587500002	C. difficile Promoter:Inhibitor
LF/LF	9841	8	9.132157217	1.141519652125	C. difficile Promoter:Inhibitor
LF/LF	9842	45.94927872	2003.73510302	43.60754202976965	C. difficile Promoter:Inhibitor
LF/LF	9945	35.95510598	2969.33546914	82.5845283502068	C. difficile Promoter:Inhibitor
LF/LF	9946	8	60.47903967	7.55987995875	C. difficile Promoter:Inhibitor
LF/LF	9947	8	30.7957398	3.849467475	C. difficile Promoter:Inhibitor
LF/LF	9948	13.041549801999999	116.63089465	8.943024135989878	C. difficile Promoter:Inhibitor
LF/LF	9966	28.23404696	2906.8108114	102.95409707004328	C. difficile Promoter:Inhibitor
LF/LF	9968	441.32066012	18200.5801236	41.2411694450268	C. difficile Promoter:Inhibitor
LF/LF	9969	8	199.1902914	24.898786425	C. difficile Promoter:Inhibitor
LF/LF	9970	8	458.0519506	57.256493825	C. difficile Promoter:Inhibitor
